id,rho_ODE,x,y,z
53,-2.4268798938465e-05,-1.97325,0,0
54,-2.4268798981097e-05,-1.97275,0,0
55,-2.4268798938465e-05,-1.97225,0,0
56,-2.4268798981097e-05,-1.97175,0,0
57,-2.4268798938465e-05,-1.97125,0,0
58,-2.4268798938465e-05,-1.97075,0,0
59,-2.4268798981097e-05,-1.97025,0,0
60,-2.4268798981097e-05,-1.96975,0,0
61,-2.4268798938465e-05,-1.96925,0,0
62,-2.4268798938465e-05,-1.96875,0,0
63,-2.4268798938465e-05,-1.96825,0,0
64,-2.4268798981097e-05,-1.96775,0,0
65,-2.4268798981097e-05,-1.96725,0,0
66,-2.4268798938465e-05,-1.96675,0,0
67,-2.4268798938465e-05,-1.96625,0,0
68,-2.4268798981097e-05,-1.96575,0,0
69,-2.4268798938465e-05,-1.96525,0,0
70,-2.4268798981097e-05,-1.96475,0,0
71,-2.4268798938465e-05,-1.96425,0,0
72,-2.4268798981097e-05,-1.96375,0,0
73,-2.4268798938465e-05,-1.96325,0,0
74,-2.4268798981097e-05,-1.96275,0,0
75,-2.4268798895832e-05,-1.96225,0,0
76,-2.426879902373e-05,-1.96175,0,0
77,-2.4268798938465e-05,-1.96125,0,0
78,-2.4268798981097e-05,-1.96075,0,0
79,-2.4268798895832e-05,-1.96025,0,0
80,-2.4268798938465e-05,-1.95975,0,0
81,-2.426879902373e-05,-1.95925,0,0
82,-2.4268798981097e-05,-1.95875,0,0
83,-2.4268798895832e-05,-1.95825,0,0
84,-2.4268798938465e-05,-1.95775,0,0
85,-2.4268798981097e-05,-1.95725,0,0
86,-2.4268798981097e-05,-1.95675,0,0
87,-2.4268798938465e-05,-1.95625,0,0
88,-2.4268798938465e-05,-1.95575,0,0
89,-2.4268798981097e-05,-1.95525,0,0
90,-2.4268798981097e-05,-1.95475,0,0
91,-2.4268798895832e-05,-1.95425,0,0
92,-2.4268798981097e-05,-1.95375,0,0
93,-2.4268798981097e-05,-1.95325,0,0
94,-2.4268798938465e-05,-1.95275,0,0
95,-2.4268798895832e-05,-1.95225,0,0
96,-2.4268798938465e-05,-1.95175,0,0
97,-2.4268798981097e-05,-1.95125,0,0
98,-2.4268798938465e-05,-1.95075,0,0
99,-2.4268798938465e-05,-1.95025,0,0
100,-2.4268798895832e-05,-1.94975,0,0
101,-2.4268798938465e-05,-1.94925,0,0
102,-2.4268798938465e-05,-1.94875,0,0
103,-2.4268798981097e-05,-1.94825,0,0
104,-2.4268798895832e-05,-1.94775,0,0
105,-2.4268798938465e-05,-1.94725,0,0
106,-2.4268798938465e-05,-1.94675,0,0
107,-2.4268798938465e-05,-1.94625,0,0
108,-2.4268798895832e-05,-1.94575,0,0
109,-2.4268798981097e-05,-1.94525,0,0
110,-2.4268798895832e-05,-1.94475,0,0
111,-2.4268798938465e-05,-1.94425,0,0
112,-2.4268798938465e-05,-1.94375,0,0
113,-2.4268798895832e-05,-1.94325,0,0
114,-2.4268798895832e-05,-1.94275,0,0
115,-2.4268798981097e-05,-1.94225,0,0
116,-2.4268798938465e-05,-1.94175,0,0
