grad_psi_e,id,x,y,z
3.2490345915903e-06,2387,-0.80625,0,0
3.2490345347469e-06,2388,-0.80575,0,0
3.2490345347469e-06,2389,-0.80525,0,0
3.2490345915903e-06,2390,-0.80475,0,0
3.2490344779035e-06,2391,-0.80425,0,0
3.2490345347469e-06,2392,-0.80375,0,0
3.2490344779035e-06,2393,-0.80325,0,0
3.2490345915903e-06,2394,-0.80275,0,0
3.2490345347469e-06,2395,-0.80225,0,0
3.2490345347469e-06,2396,-0.80175,0,0
3.2490345915903e-06,2397,-0.80125,0,0
3.2490345347469e-06,2398,-0.80075,0,0
3.2490344779035e-06,2399,-0.80025,0,0
3.2490345915903e-06,2400,-0.79975,0,0
3.2490344779035e-06,2401,-0.79925,0,0
3.2490345347469e-06,2402,-0.79875,0,0
3.2490345915903e-06,2403,-0.79825,0,0
3.2490344779035e-06,2404,-0.79775,0,0
3.2490345347469e-06,2405,-0.79725,0,0
3.2490345347469e-06,2406,-0.79675,0,0
3.2490345347469e-06,2407,-0.79625,0,0
3.2490345347469e-06,2408,-0.79575,0,0
3.2490344779035e-06,2409,-0.79525,0,0
3.2490345347469e-06,2410,-0.79475,0,0
3.2490345347469e-06,2411,-0.79425,0,0
3.2490344779035e-06,2412,-0.79375,0,0
3.2490345915903e-06,2413,-0.79325,0,0
3.2490345347469e-06,2414,-0.79275,0,0
3.2490344779035e-06,2415,-0.79225,0,0
3.2490345347469e-06,2416,-0.79175,0,0
3.2490345347469e-06,2417,-0.79125,0,0
3.2490344779035e-06,2418,-0.79075,0,0
3.2490345347469e-06,2419,-0.79025,0,0
3.2490345347469e-06,2420,-0.78975,0,0
3.2490345347469e-06,2421,-0.78925,0,0
3.2490345347469e-06,2422,-0.78875,0,0
3.2490345347469e-06,2423,-0.78825,0,0
3.2490345347469e-06,2424,-0.78775,0,0
3.2490344779035e-06,2425,-0.78725,0,0
